Index,Red,Green,Blue,Apha
232,232,232,232,0.90625
233,233,233,233,0.91015625
234,234,234,234,0.9140625
235,235,235,235,0.91796875
236,236,236,236,0.921875
237,237,237,237,0.92578125
238,238,238,238,0.9296875
239,239,239,239,0.93359375
240,240,240,240,0.9375
241,241,241,241,0.94140625
242,242,242,242,0.9453125
243,243,243,243,0.94921875
244,244,244,244,0.953125
245,245,245,245,0.95703125
246,246,246,246,0.9609375
247,247,247,247,0.96484375
248,248,248,248,0.96875
249,249,249,249,0.97265625
250,250,250,250,0.9765625
251,251,251,251,0.98046875
252,252,252,252,0.984375
253,253,253,253,0.98828125
254,254,254,254,0.9921875
255,255,255,255,0.99609375
